,rouge-1,rouge-2,rouge-l
899,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
900,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
901,"{'r': 0.5818181818181818, 'p': 0.5333333333333333, 'f': 0.5565217341398866}","{'r': 0.5178571428571429, 'p': 0.4393939393939394, 'f': 0.475409831099167}","{'r': 0.5818181818181818, 'p': 0.5333333333333333, 'f': 0.5565217341398866}"
902,"{'r': 0.7735849056603774, 'p': 0.8367346938775511, 'f': 0.8039215636351404}","{'r': 0.6666666666666666, 'p': 0.7719298245614035, 'f': 0.7154471494983144}","{'r': 0.7735849056603774, 'p': 0.8367346938775511, 'f': 0.8039215636351404}"
903,"{'r': 0.6949152542372882, 'p': 0.82, 'f': 0.7522935730157395}","{'r': 0.53125, 'p': 0.5483870967741935, 'f': 0.5396825346837996}","{'r': 0.6440677966101694, 'p': 0.76, 'f': 0.6972477014561065}"
904,"{'r': 0.7592592592592593, 'p': 0.803921568627451, 'f': 0.7809523759564626}","{'r': 0.6470588235294118, 'p': 0.7096774193548387, 'f': 0.6769230719337278}","{'r': 0.7592592592592593, 'p': 0.803921568627451, 'f': 0.7809523759564626}"
905,"{'r': 0.7368421052631579, 'p': 0.6774193548387096, 'f': 0.7058823479500036}","{'r': 0.609375, 'p': 0.5571428571428572, 'f': 0.5820895472488306}","{'r': 0.7368421052631579, 'p': 0.6774193548387096, 'f': 0.7058823479500036}"
906,"{'r': 0.9183673469387755, 'p': 0.9782608695652174, 'f': 0.9473684160576178}","{'r': 0.8070175438596491, 'p': 0.8679245283018868, 'f': 0.8363636313702479}","{'r': 0.9183673469387755, 'p': 0.9782608695652174, 'f': 0.9473684160576178}"
907,"{'r': 0.5094339622641509, 'p': 0.48214285714285715, 'f': 0.49541283904048483}","{'r': 0.3620689655172414, 'p': 0.3442622950819672, 'f': 0.352941171473766}","{'r': 0.5094339622641509, 'p': 0.48214285714285715, 'f': 0.49541283904048483}"
908,"{'r': 0.864406779661017, 'p': 1.0, 'f': 0.9272727222991737}","{'r': 0.8428571428571429, 'p': 0.9833333333333333, 'f': 0.9076923027218935}","{'r': 0.864406779661017, 'p': 1.0, 'f': 0.9272727222991737}"
909,"{'r': 0.9636363636363636, 'p': 0.9137931034482759, 'f': 0.938053092348657}","{'r': 0.9344262295081968, 'p': 0.8769230769230769, 'f': 0.904761899766944}","{'r': 0.9636363636363636, 'p': 0.9137931034482759, 'f': 0.938053092348657}"
910,"{'r': 1.0, 'p': 0.953125, 'f': 0.97599999500288}","{'r': 0.9692307692307692, 'p': 0.9402985074626866, 'f': 0.9545454495466026}","{'r': 1.0, 'p': 0.953125, 'f': 0.97599999500288}"
911,"{'r': 0.4642857142857143, 'p': 0.5416666666666666, 'f': 0.49999999502958586}","{'r': 0.3384615384615385, 'p': 0.4, 'f': 0.36666666170138895}","{'r': 0.44642857142857145, 'p': 0.5208333333333334, 'f': 0.4807692257988166}"
912,"{'r': 1.0, 'p': 0.8709677419354839, 'f': 0.9310344777824019}","{'r': 0.9666666666666667, 'p': 0.8405797101449275, 'f': 0.8992248012258879}","{'r': 1.0, 'p': 0.8709677419354839, 'f': 0.9310344777824019}"
913,"{'r': 0.6545454545454545, 'p': 0.6101694915254238, 'f': 0.6315789423745769}","{'r': 0.578125, 'p': 0.5522388059701493, 'f': 0.5648854911858284}","{'r': 0.6545454545454545, 'p': 0.6101694915254238, 'f': 0.6315789423745769}"
914,"{'r': 0.8409090909090909, 'p': 0.7254901960784313, 'f': 0.7789473634481996}","{'r': 0.75, 'p': 0.6964285714285714, 'f': 0.7222222172290811}","{'r': 0.8409090909090909, 'p': 0.7254901960784313, 'f': 0.7789473634481996}"
915,"{'r': 0.11320754716981132, 'p': 0.12244897959183673, 'f': 0.11764705383121898}","{'r': 0.0, 'p': 0.0, 'f': 0.0}","{'r': 0.11320754716981132, 'p': 0.12244897959183673, 'f': 0.11764705383121898}"
916,"{'r': 1.0, 'p': 0.7692307692307693, 'f': 0.8695652124763706}","{'r': 0.9814814814814815, 'p': 0.726027397260274, 'f': 0.8346456644032488}","{'r': 1.0, 'p': 0.7692307692307693, 'f': 0.8695652124763706}"
917,"{'r': 0.3111111111111111, 'p': 0.24561403508771928, 'f': 0.2745097989907728}","{'r': 0.0392156862745098, 'p': 0.03125, 'f': 0.03478260375954702}","{'r': 0.28888888888888886, 'p': 0.22807017543859648, 'f': 0.254901955853518}"
918,"{'r': 1.0, 'p': 0.9152542372881356, 'f': 0.9557522073991699}","{'r': 0.9830508474576272, 'p': 0.90625, 'f': 0.9430894259025713}","{'r': 1.0, 'p': 0.9152542372881356, 'f': 0.9557522073991699}"
919,"{'r': 0.7857142857142857, 'p': 0.8148148148148148, 'f': 0.7999999950016529}","{'r': 0.671875, 'p': 0.7413793103448276, 'f': 0.7049180277989788}","{'r': 0.7678571428571429, 'p': 0.7962962962962963, 'f': 0.7818181768198348}"
920,"{'r': 0.7037037037037037, 'p': 0.6785714285714286, 'f': 0.690909085910744}","{'r': 0.55, 'p': 0.532258064516129, 'f': 0.5409836015587208}","{'r': 0.7037037037037037, 'p': 0.6785714285714286, 'f': 0.690909085910744}"
921,"{'r': 0.9473684210526315, 'p': 0.9818181818181818, 'f': 0.9642857092873087}","{'r': 0.90625, 'p': 0.9354838709677419, 'f': 0.9206349156361804}","{'r': 0.9473684210526315, 'p': 0.9818181818181818, 'f': 0.9642857092873087}"
922,"{'r': 0.4, 'p': 0.3673469387755102, 'f': 0.3829787184133092}","{'r': 0.28846153846153844, 'p': 0.2542372881355932, 'f': 0.2702702652901551}","{'r': 0.4, 'p': 0.3673469387755102, 'f': 0.3829787184133092}"
923,"{'r': 1.0, 'p': 0.9622641509433962, 'f': 0.9807692257710799}","{'r': 0.984375, 'p': 0.9264705882352942, 'f': 0.9545454495500459}","{'r': 1.0, 'p': 0.9622641509433962, 'f': 0.9807692257710799}"
924,"{'r': 0.9830508474576272, 'p': 0.9206349206349206, 'f': 0.9508196671365226}","{'r': 0.953125, 'p': 0.8840579710144928, 'f': 0.9172932280897734}","{'r': 0.9830508474576272, 'p': 0.9206349206349206, 'f': 0.9508196671365226}"
925,"{'r': 1.0, 'p': 0.9655172413793104, 'f': 0.9824561353524162}","{'r': 0.984375, 'p': 0.9402985074626866, 'f': 0.9618320560713246}","{'r': 1.0, 'p': 0.9655172413793104, 'f': 0.9824561353524162}"
926,"{'r': 0.6341463414634146, 'p': 0.5777777777777777, 'f': 0.6046511578015145}","{'r': 0.6111111111111112, 'p': 0.5689655172413793, 'f': 0.5892857092920919}","{'r': 0.6341463414634146, 'p': 0.5777777777777777, 'f': 0.6046511578015145}"
927,"{'r': 0.5892857142857143, 'p': 0.55, 'f': 0.5689655122473247}","{'r': 0.46875, 'p': 0.46153846153846156, 'f': 0.46511627407006795}","{'r': 0.5892857142857143, 'p': 0.55, 'f': 0.5689655122473247}"
928,"{'r': 0.8, 'p': 0.851063829787234, 'f': 0.8247422630460198}","{'r': 0.7457627118644068, 'p': 0.8, 'f': 0.7719298195675593}","{'r': 0.8, 'p': 0.851063829787234, 'f': 0.8247422630460198}"
929,"{'r': 0.40350877192982454, 'p': 0.40350877192982454, 'f': 0.40350876692982457}","{'r': 0.2328767123287671, 'p': 0.24285714285714285, 'f': 0.23776223276443847}","{'r': 0.40350877192982454, 'p': 0.40350877192982454, 'f': 0.40350876692982457}"
930,"{'r': 0.3559322033898305, 'p': 0.40384615384615385, 'f': 0.3783783733982632}","{'r': 0.15151515151515152, 'p': 0.17543859649122806, 'f': 0.1626016210430301}","{'r': 0.3389830508474576, 'p': 0.38461538461538464, 'f': 0.3603603553802452}"
931,"{'r': 0.8297872340425532, 'p': 0.8297872340425532, 'f': 0.8297872290425532}","{'r': 0.7704918032786885, 'p': 0.7704918032786885, 'f': 0.7704917982786885}","{'r': 0.8297872340425532, 'p': 0.8297872340425532, 'f': 0.8297872290425532}"
932,"{'r': 0.3684210526315789, 'p': 0.3387096774193548, 'f': 0.35294117147941534}","{'r': 0.16923076923076924, 'p': 0.16923076923076924, 'f': 0.1692307642307694}","{'r': 0.3684210526315789, 'p': 0.3387096774193548, 'f': 0.35294117147941534}"
933,"{'r': 0.2857142857142857, 'p': 0.34782608695652173, 'f': 0.3137254852441369}","{'r': 0.0967741935483871, 'p': 0.10909090909090909, 'f': 0.10256409758200039}","{'r': 0.26785714285714285, 'p': 0.32608695652173914, 'f': 0.294117642106882}"
934,"{'r': 0.864406779661017, 'p': 0.864406779661017, 'f': 0.864406774661017}","{'r': 0.6527777777777778, 'p': 0.6911764705882353, 'f': 0.671428566432653}","{'r': 0.864406779661017, 'p': 0.864406779661017, 'f': 0.864406774661017}"
935,"{'r': 0.9583333333333334, 'p': 1.0, 'f': 0.9787233992575827}","{'r': 0.8867924528301887, 'p': 0.9215686274509803, 'f': 0.9038461488480031}","{'r': 0.9583333333333334, 'p': 1.0, 'f': 0.9787233992575827}"
936,"{'r': 0.2641509433962264, 'p': 0.2857142857142857, 'f': 0.27450979892925803}","{'r': 0.06779661016949153, 'p': 0.07017543859649122, 'f': 0.068965512242866}","{'r': 0.2641509433962264, 'p': 0.2857142857142857, 'f': 0.27450979892925803}"
